IBRA - Carteira do Dia 02/01/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
LWSA3;LOCAWEB;ON      NM;393.173.139;0,092;
LOGG3;LOG COM PROP;ON      NM;60.865.948;0,054;
AMAR3;LOJAS MARISA;ON      NM;31.628.685;0,005;
LREN3;LOJAS RENNER;ON  EJ  NM;951.329.770;0,647;
LUPA3;LUPATECH;ON      NM;33.506.588;0,003;
MDIA3;M.DIASBRANCO;ON  EJ  NM;66.033.716;0,100;
MGLU3;MAGAZ LUIZA;ON      NM;2.867.627.068;0,242;
POMO4;MARCOPOLO;PN  EJ  N2;555.446.291;0,153;
MRFG3;MARFRIG;ON      NM;331.799.687;0,126;
MATD3;MATER DEI;ON      NM;108.589.172;0,035;
CASH3;MELIUZ;ON      NM;69.209.595;0,021;
LEVE3;METAL LEVE;ON  EJ  NM;52.865.876;0,073;
MILS3;MILLS;ON  EJ  NM;179.747.379;0,096;
BEEF3;MINERVA;ON      NM;261.036.182;0,076;
MTRE3;MITRE REALTY;ON      NM;52.240.379;0,013;
MBLY3;MOBLY;ON      NM;44.444.445;0,004;
MOVI3;MOVIDA;ON      NM;124.051.424;0,057;
MRVE3;MRV;ON      NM;376.187.582;0,165;
MLAS3;MULTILASER;ON      NM;476.128.588;0,039;
MULT3;MULTIPLAN;ON  EJ  N2;268.505.432;0,298;
NEOE3;NEOENERGIA;ON      NM;196.255.894;0,164;
ODPV3;ODONTOPREV;ON  EJ  NM;258.856.632;0,118;
ONCO3;ONCOCLINICAS;ON      NM;243.999.267;0,124;
ORVR3;ORIZON;ON      NM;42.889.362;0,064;
PCAR3;P.ACUCAR-CBD;ON      NM;159.430.826;0,025;
PGMN3;PAGUE MENOS;ON      NM;172.473.143;0,027;
PETR3;PETROBRAS;ON      N2;3.701.760.571;5,637;
PETR4;PETROBRAS;PN      N2;4.566.445.852;6,644;
RECV3;PETRORECSA;ON      NM;275.005.663;0,233;
PRIO3;PETRORIO;ON      NM;800.010.734;1,439;
